block,trial,word,color,congruent,rt_ms,response_key,recognized_color,correct,timed_out,no_response
4,53,yellow,blue,False,877.2,f,blue,True,False,False
4,54,red,red,True,588.8,d,red,True,False,False
4,55,green,yellow,False,765.1,j,green,False,False,False
4,56,blue,blue,True,963.0,f,blue,True,False,False
4,57,red,yellow,False,809.3,k,yellow,True,False,False
4,58,green,green,True,665.4,j,green,True,False,False
4,59,red,red,True,630.9,d,red,True,False,False
4,60,green,red,False,1282.7,d,red,True,False,False
4,61,blue,blue,True,659.5,f,blue,True,False,False
4,62,green,yellow,False,930.9,k,yellow,True,False,False
4,63,red,red,True,610.3,d,red,True,False,False
4,64,green,green,True,690.7,j,green,True,False,False
4,65,blue,blue,True,1176.1,f,blue,True,False,False
4,66,blue,yellow,False,858.1,k,yellow,True,False,False
4,67,red,red,True,618.6,d,red,True,False,False
4,68,green,blue,False,1954.6,f,blue,True,False,False
4,69,red,red,True,934.5,d,red,True,False,False
4,70,red,red,True,673.3,d,red,True,False,False
4,71,red,red,True,533.0,d,red,True,False,False
4,72,yellow,yellow,True,1171.0,k,yellow,True,False,False
4,73,blue,blue,True,1634.1,f,blue,True,False,False
4,74,blue,blue,True,603.2,f,blue,True,False,False
4,75,green,red,False,802.6,d,red,True,False,False
4,76,yellow,green,False,778.9,j,green,True,False,False
4,77,blue,blue,True,647.8,f,blue,True,False,False
4,78,green,green,True,880.3,j,green,True,False,False
4,79,red,red,True,637.0,d,red,True,False,False
4,80,yellow,blue,False,1605.5,f,blue,True,False,False
4,81,yellow,red,False,1059.6,d,red,True,False,False
4,82,green,red,False,854.0,d,red,True,False,False
4,83,yellow,yellow,True,1111.2,k,yellow,True,False,False
4,84,yellow,red,False,669.0,d,red,True,False,False
4,85,red,red,True,926.0,d,red,True,False,False
4,86,yellow,red,False,654.1,d,red,True,False,False
4,87,green,red,False,763.4,d,red,True,False,False
4,88,red,red,True,653.9,d,red,True,False,False
4,89,blue,blue,True,618.3,f,blue,True,False,False
4,90,red,green,False,778.2,j,green,True,False,False
4,91,red,blue,False,1033.3,f,blue,True,False,False
4,92,yellow,blue,False,1748.5,f,blue,True,False,False
4,93,yellow,yellow,True,1403.6,k,yellow,True,False,False
4,94,yellow,blue,False,1882.8,f,blue,True,False,False
4,95,yellow,yellow,True,1194.8,k,yellow,True,False,False
4,96,red,red,True,541.9,d,red,True,False,False
4,97,red,yellow,False,1951.1,k,yellow,True,False,False
4,98,blue,blue,True,759.4,f,blue,True,False,False
4,99,yellow,green,False,1023.9,k,yellow,False,False,False
4,100,blue,blue,True,785.0,f,blue,True,False,False
