block,trial,word,color,congruent,rt_ms,recognized_text,correct,timed_out,no_response,audio_file,max_rms,onset_offset_in_wav_ms
2,99,yellow,yellow,True,766.0,yellow,True,True,False,data\voice\audio\1_20260818_215922\block2_trial099.wav,4457.1,826.0
2,100,blue,blue,True,879.8,blue,True,True,False,data\voice\audio\1_20260818_215922\block2_trial100.wav,4575.0,938.2
3,1,green,red,False,96.5,red,True,True,False,data\voice\audio\1_20260818_215922\block3_trial001.wav,8066.8,152.0
3,2,red,blue,False,896.8,blue,True,True,False,data\voice\audio\1_20260818_215922\block3_trial002.wav,3982.3,939.5
3,3,blue,blue,True,689.3,blue,True,False,False,data\voice\audio\1_20260818_215922\block3_trial003.wav,4291.2,738.8
3,4,red,yellow,False,880.4,yellow,True,True,False,data\voice\audio\1_20260818_215922\block3_trial004.wav,4226.8,939.3
3,5,blue,blue,True,747.4,blue,True,False,False,data\voice\audio\1_20260818_215922\block3_trial005.wav,4419.8,801.2
3,6,red,red,True,631.1,red,True,False,False,data\voice\audio\1_20260818_215922\block3_trial006.wav,3998.5,686.7
3,7,blue,green,False,732.6,green,True,False,False,data\voice\audio\1_20260818_215922\block3_trial007.wav,3359.5,792.3
3,8,green,green,True,661.0,green,True,False,False,data\voice\audio\1_20260818_215922\block3_trial008.wav,3464.7,718.0
3,9,red,red,True,642.7,red,True,False,False,data\voice\audio\1_20260818_215922\block3_trial009.wav,3313.5,681.0
3,10,yellow,yellow,True,565.1,yellow,True,False,False,data\voice\audio\1_20260818_215922\block3_trial010.wav,4436.0,624.9
3,11,green,yellow,False,991.1,yellow,True,True,False,data\voice\audio\1_20260818_215922\block3_trial011.wav,3784.5,1045.5
3,12,yellow,yellow,True,687.3,yellow,True,False,False,data\voice\audio\1_20260818_215922\block3_trial012.wav,4011.4,743.7
3,13,red,red,True,598.7,red,True,False,False,data\voice\audio\1_20260818_215922\block3_trial013.wav,4471.9,649.6
3,14,yellow,yellow,True,606.8,yellow,True,False,False,data\voice\audio\1_20260818_215922\block3_trial014.wav,3972.8,662.2
3,15,yellow,yellow,True,547.9,yellow,True,False,False,data\voice\audio\1_20260818_215922\block3_trial015.wav,4793.9,597.3
3,16,blue,blue,True,648.1,blue,True,False,False,data\voice\audio\1_20260818_215922\block3_trial016.wav,4523.7,700.6
3,17,blue,red,False,718.0,red,True,False,False,data\voice\audio\1_20260818_215922\block3_trial017.wav,4593.9,770.6
3,18,green,green,True,771.5,green,True,True,False,data\voice\audio\1_20260818_215922\block3_trial018.wav,4487.8,818.5
3,19,blue,red,False,793.1,red,True,True,False,data\voice\audio\1_20260818_215922\block3_trial019.wav,4554.6,846.5
3,20,yellow,yellow,True,613.1,yellow,True,False,False,data\voice\audio\1_20260818_215922\block3_trial020.wav,4448.3,660.0
3,21,yellow,yellow,True,586.4,yellow,True,False,False,data\voice\audio\1_20260818_215922\block3_trial021.wav,3976.5,640.8
3,22,red,red,True,658.2,red,True,False,False,data\voice\audio\1_20260818_215922\block3_trial022.wav,3429.2,699.6
3,23,red,green,False,936.8,green,True,True,False,data\voice\audio\1_20260818_215922\block3_trial023.wav,2418.9,991.0
3,24,blue,blue,True,672.8,blue,True,False,False,data\voice\audio\1_20260818_215922\block3_trial024.wav,4762.2,730.1
3,25,yellow,red,False,719.8,yellow,False,False,False,data\voice\audio\1_20260818_215922\block3_trial025.wav,2800.9,777.7
